repo,test_acc_1_epoch,test_precision_1_epoch,test_recall_1_epoch,test_f1_marco_1_epoch,test_f1_marco_weight_1_epoch,test_f1_mirco_1_epoch,test_acc_2_epoch,test_precision_2_epoch,test_recall_2_epoch,test_f1_marco_2_epoch,test_f1_marco_weight_2_epoch,test_f1_mirco_2_epoch
framework_newlabel_clean_TRAIN_Aug_times_0,0.6210471987724304,0.6210471987724304,0.6210471987724304,0.43571674823760986,0.6191182136535645,0.6210471987724304,0.8532918691635132,0.4266459345817566,0.8532918691635132,0.4305311441421509,0.586887538433075,0.5688613057136536
framework_newlabel_clean_TRAIN_Aug_times_1,0.6511145830154419,0.6511145830154419,0.6511145830154419,0.45173126459121704,0.6391057372093201,0.6511145830154419,0.8548470735549927,0.42742353677749634,0.8548470735549927,0.4329608678817749,0.58054119348526,0.5698980093002319
framework_newlabel_clean_TRAIN_Aug_times_2,0.6448937058448792,0.6448937058448792,0.6448937058448792,0.4568723440170288,0.6362265348434448,0.6448937058448792,0.8610678911209106,0.4305339455604553,0.8610678911209106,0.4478970766067505,0.5841825604438782,0.5740452408790588
framework_newlabel_clean_TRAIN_Aug_times_3,0.6428201198577881,0.6428201198577881,0.6428201198577881,0.45255476236343384,0.6350119113922119,0.6428201198577881,0.8553654551506042,0.4276827275753021,0.8553654551506042,0.43135762214660645,0.5854233503341675,0.5702436566352844
framework_newlabel_clean_TRAIN_Aug_times_4,0.6448937058448792,0.6448937058448792,0.6448937058448792,0.4569248557090759,0.6392390727996826,0.6448937058448792,0.8574391007423401,0.42871955037117004,0.8574391007423401,0.43427032232284546,0.5876061916351318,0.5716260671615601
framework_newlabel_clean_TRAIN_Aug_times_5,0.6573354005813599,0.6573354005813599,0.6573354005813599,0.46661680936813354,0.6478357315063477,0.6573354005813599,0.8605495095252991,0.43027475476264954,0.8605495095252991,0.44499945640563965,0.589057207107544,0.5736996531486511
framework_newlabel_clean_TRAIN_Aug_times_6,0.62778639793396,0.62778639793396,0.62778639793396,0.4495554566383362,0.622612714767456,0.62778639793396,0.8564022779464722,0.4282011389732361,0.8564022779464722,0.43479737639427185,0.5914453268051147,0.5709348917007446
framework_newlabel_clean_TRAIN_Aug_times_7,0.6599274277687073,0.6599274277687073,0.6599274277687073,0.45110824704170227,0.6431789994239807,0.6599274277687073,0.8527734279632568,0.4263867139816284,0.8527734279632568,0.42900729179382324,0.5772931575775146,0.5685155987739563
framework_newlabel_clean_TRAIN_Aug_times_8,0.6480041742324829,0.6480041742324829,0.6480041742324829,0.45303240418434143,0.6417016386985779,0.6480041742324829,0.8626230955123901,0.43131154775619507,0.8626230955123901,0.4366135895252228,0.5907524824142456,0.5750821232795715
framework_newlabel_clean_TRAIN_Aug_times_9,0.6448937058448792,0.6448937058448792,0.6448937058448792,0.433005690574646,0.6300699710845947,0.6448937058448792,0.8595126867294312,0.4297563433647156,0.8595126867294312,0.4373863935470581,0.5825496315956116,0.5730084776878357
