repo,test_acc_1_epoch,test_precision_1_epoch,test_recall_1_epoch,test_f1_marco_1_epoch,test_f1_marco_weight_1_epoch,test_f1_mirco_1_epoch,test_acc_2_epoch,test_precision_2_epoch,test_recall_2_epoch,test_f1_marco_2_epoch,test_f1_marco_weight_2_epoch,test_f1_mirco_2_epoch
framework_newlabel_clean_TRAIN_Aug_times_0,0.6417832970619202,0.6417832970619202,0.6417832970619202,0.4895768165588379,0.635901153087616,0.6417832970619202,0.8631415367126465,0.43157076835632324,0.8631415367126465,0.4443926215171814,0.5910295844078064,0.5754276514053345
framework_newlabel_clean_TRAIN_Aug_times_1,0.6459305286407471,0.6459305286407471,0.6459305286407471,0.48288795351982117,0.6413478851318359,0.6459305286407471,0.8631415367126465,0.43157076835632324,0.8631415367126465,0.4424300193786621,0.5957504510879517,0.5754276514053345
framework_newlabel_clean_TRAIN_Aug_times_2,0.6329704523086548,0.6329704523086548,0.6329704523086548,0.47274115681648254,0.6264220476150513,0.6329704523086548,0.866770327091217,0.4333851635456085,0.866770327091217,0.4493391513824463,0.5941762924194336,0.577846884727478
framework_newlabel_clean_TRAIN_Aug_times_3,0.6573354005813599,0.6573354005813599,0.6573354005813599,0.4793684780597687,0.6464272737503052,0.6573354005813599,0.8652151226997375,0.4326075613498688,0.8652151226997375,0.445242315530777,0.5933087468147278,0.5768100619316101
framework_newlabel_clean_TRAIN_Aug_times_4,0.6526697874069214,0.6526697874069214,0.6526697874069214,0.47511112689971924,0.6373482346534729,0.6526697874069214,0.8564022779464722,0.4282011389732361,0.8564022779464722,0.43880495429039,0.5865547060966492,0.5709348917007446
framework_newlabel_clean_TRAIN_Aug_times_5,0.646967351436615,0.646967351436615,0.646967351436615,0.48748838901519775,0.6337354779243469,0.646967351436615,0.8517366647720337,0.42586833238601685,0.8517366647720337,0.4361112713813782,0.5832957029342651,0.5678244233131409
framework_newlabel_clean_TRAIN_Aug_times_6,0.6417832970619202,0.6417832970619202,0.6417832970619202,0.47556212544441223,0.6329193115234375,0.6417832970619202,0.8641783595085144,0.4320891797542572,0.8641783595085144,0.44132059812545776,0.5944366455078125,0.5761189460754395
framework_newlabel_clean_TRAIN_Aug_times_7,0.6365993022918701,0.6365993022918701,0.6365993022918701,0.47096508741378784,0.6279529929161072,0.6365993022918701,0.8574391007423401,0.42871955037117004,0.8574391007423401,0.4401770234107971,0.5892647504806519,0.5716260671615601
framework_newlabel_clean_TRAIN_Aug_times_8,0.6412649154663086,0.6412649154663086,0.6412649154663086,0.4797520041465759,0.6355603933334351,0.6412649154663086,0.8605495095252991,0.43027475476264954,0.8605495095252991,0.44448766112327576,0.5910600423812866,0.5736996531486511
framework_newlabel_clean_TRAIN_Aug_times_9,0.6448937058448792,0.6448937058448792,0.6448937058448792,0.4709727168083191,0.6367650032043457,0.6448937058448792,0.858475923538208,0.429237961769104,0.858475923538208,0.44223618507385254,0.5889084339141846,0.5723173022270203
